Timestamp,collidingObject,HeartRate,CognitiveLoad,Attention,Relaxation,leftPupilDialation,rightPupilDialation,Condition,AF3,AF4,FP1,FP2,AF7,AF8,
20/07/2022 11:19:21 a.m.:92,FadeQuad,113,5.939937,0.3098083,0.9833565,3.915192,4.042587,CaliberationScene,-0.0703544318675995,-0.0126022100448608,-0.192282184958458,-0.5,-0.0901322960853577,0.236089542508125,
20/07/2022 11:19:21 a.m.:134,FadeQuad,113,5.929727,0.2889705,0.9692484,3.915192,4.042587,CaliberationScene,-0.079866923391819,-0.0698916465044022,-0.19472648203373,-0.5,-0.0901322960853577,0.236089542508125,
20/07/2022 11:19:21 a.m.:166,FadeQuad,107,5.659149,0.2720459,0.9533714,3.915192,4.042587,CaliberationScene,-0.079866923391819,-0.0698916465044022,-0.19472648203373,0.5,-0.0946671962738037,0.132520705461502,
20/07/2022 11:19:21 a.m.:205,FadeQuad,116,5.592781,0.2720459,0.9533714,3.915192,4.042587,CaliberationScene,-0.0474611073732376,-0.0282386187463999,-0.118264265358448,0.5,-0.0946671962738037,0.132520705461502,
20/07/2022 11:19:21 a.m.:235,FadeQuad,116,5.592781,0.2720459,0.9533714,3.915192,4.042587,CaliberationScene,-0.0474611073732376,-0.0282386187463999,-0.118264265358448,0.5,-0.0946671962738037,0.132520705461502,
20/07/2022 11:19:21 a.m.:269,FadeQuad,116,5.587676,0.2412163,0.9378494,3.915192,4.042587,CaliberationScene,-0.0474611073732376,-0.0282386187463999,-0.118264265358448,-0.5,0.136698246002197,0.416010916233063,
20/07/2022 11:19:21 a.m.:293,FadeQuad,116,5.587676,0.2412163,0.9378494,3.915192,4.042587,CaliberationScene,0.128469079732895,0.0596442334353924,0.0268850885331631,-0.5,0.136698246002197,0.416010916233063,
20/07/2022 11:19:21 a.m.:317,FadeQuad,116,5.582571,0.2412163,0.9378494,3.915192,4.042587,CaliberationScene,0.128469079732895,0.0596442334353924,0.0268850885331631,-0.5,0.136698246002197,0.416010916233063,
20/07/2022 11:19:21 a.m.:366,FadeQuad,116,5.587676,0.2412163,0.9378494,3.915192,4.042587,CaliberationScene,0.128469079732895,0.0596442334353924,0.0268850885331631,-0.5,0.162670731544495,0.324381709098816,
20/07/2022 11:19:21 a.m.:390,FadeQuad,116,5.582571,0.2104363,0.9276462,3.915192,4.042587,CaliberationScene,0.0821370407938957,0.095224566757679,0.074018582701683,-0.5,0.162670731544495,0.324381709098816,
20/07/2022 11:19:21 a.m.:413,FadeQuad,116,5.577466,0.2104363,0.9276462,3.915192,4.042587,CaliberationScene,0.0821370407938957,0.095224566757679,0.074018582701683,-0.5,0.162670731544495,0.324381709098816,
20/07/2022 11:19:21 a.m.:438,FadeQuad,116,5.57236,0.2104363,0.9276462,3.915192,4.042587,CaliberationScene,0.0821370407938957,0.095224566757679,0.074018582701683,-0.5,0.162670731544495,0.324381709098816,
20/07/2022 11:19:21 a.m.:464,FadeQuad,116,5.567255,0.2104363,0.9276462,3.915192,4.042587,CaliberationScene,0.0821370407938957,0.095224566757679,0.074018582701683,-0.5,0.0712045505642891,0.0804274156689644,
20/07/2022 11:19:21 a.m.:486,FadeQuad,116,5.567255,0.1717476,0.9107144,3.915192,4.042587,CaliberationScene,0.0294565986841917,0.0823773369193077,-0.0830061063170433,-0.5,0.0712045505642891,0.0804274156689644,
20/07/2022 11:19:21 a.m.:517,FadeQuad,116,5.57236,0.1717476,0.9107144,3.915192,4.042587,CaliberationScene,0.0294565986841917,0.0823773369193077,-0.0830061063170433,-0.5,0.0712045505642891,0.0804274156689644,
20/07/2022 11:19:21 a.m.:554,FadeQuad,116,5.56215,0.1717476,0.9107144,3.915192,4.042587,CaliberationScene,0.0294565986841917,0.0823773369193077,-0.0830061063170433,-0.5,0.0322218984365463,0.322465181350708,
20/07/2022 11:19:21 a.m.:582,FadeQuad,116,5.56215,0.1717476,0.9107144,3.915192,4.042587,CaliberationScene,0.0515438616275787,0.203262493014336,-0.0267894398421049,-0.5,0.0322218984365463,0.322465181350708,
20/07/2022 11:19:21 a.m.:614,FadeQuad,116,5.56215,0.1051074,0.8981925,3.915192,4.042587,CaliberationScene,0.0515438616275787,0.203262493014336,-0.0267894398421049,-0.5,0.0322218984365463,0.322465181350708,
20/07/2022 11:19:21 a.m.:646,FadeQuad,112,5.56215,0.1051074,0.8981925,3.915192,4.042587,CaliberationScene,0.0515438616275787,0.203262493014336,-0.0267894398421049,-0.5,0.0322218984365463,0.322465181350708,
20/07/2022 11:19:21 a.m.:688,FadeQuad,112,5.557045,0.1051074,0.8981925,3.915192,4.042587,CaliberationScene,0.0515438616275787,0.203262493014336,-0.0267894398421049,0.5,-0.0820745155215263,-0.130761310458183,
20/07/2022 11:19:21 a.m.:721,FadeQuad,112,5.557045,0.1051074,0.8981925,3.915192,4.042587,CaliberationScene,0.0226240884512663,0.278456419706345,-0.137131959199905,0.5,-0.0820745155215263,-0.130761310458183,
20/07/2022 11:19:21 a.m.:756,FadeQuad,112,5.557045,0.04740549,0.9027644,3.915192,4.042587,CaliberationScene,0.0226240884512663,0.278456419706345,-0.137131959199905,0.5,-0.0820745155215263,-0.130761310458183,
20/07/2022 11:19:21 a.m.:790,FadeQuad,112,5.551939,0.04740549,0.9027644,3.915192,4.042587,CaliberationScene,0.0226240884512663,0.278456419706345,-0.137131959199905,0.5,-0.21912245452404,-0.48554739356041,
20/07/2022 11:19:21 a.m.:836,FadeQuad,112,5.557045,0.04740549,0.9027644,3.915192,4.042587,CaliberationScene,-0.110420763492584,0.20828016102314,-0.135921195149422,0.5,-0.21912245452404,-0.48554739356041,
20/07/2022 11:19:21 a.m.:872,FadeQuad,112,5.557045,0.02427161,0.912614,3.915192,4.042587,CaliberationScene,-0.110420763492584,0.20828016102314,-0.135921195149422,0.5,-0.21912245452404,-0.48554739356041,
20/07/2022 11:19:21 a.m.:895,FadeQuad,112,5.551939,0.02427161,0.912614,3.915192,4.042587,CaliberationScene,-0.110420763492584,0.20828016102314,-0.135921195149422,0.5,-0.134826734662056,-0.5,
20/07/2022 11:19:21 a.m.:929,FadeQuad,112,5.551939,0.02427161,0.912614,3.915192,4.042587,CaliberationScene,-0.11455487459898,0.0141012221574783,-0.12267529964447,0.5,-0.134826734662056,-0.5,
20/07/2022 11:19:21 a.m.:955,FadeQuad,112,5.551939,0.0178736,0.9131762,3.915192,4.042587,CaliberationScene,-0.11455487459898,0.0141012221574783,-0.12267529964447,0.5,-0.134826734662056,-0.5,
20/07/2022 11:19:21 a.m.:984,FadeQuad,112,5.551939,0.0178736,0.9131762,3.915192,4.042587,CaliberationScene,-0.11455487459898,0.0141012221574783,-0.12267529964447,0.5,-0.0969785526394844,-0.356863528490067,
20/07/2022 11:19:22 a.m.:5,FadeQuad,112,5.557045,0.0178736,0.9131762,3.915192,4.042587,CaliberationScene,-0.0866755992174149,-0.112156070768833,-0.160156384110451,0.5,-0.0969785526394844,-0.356863528490067,
20/07/2022 11:19:22 a.m.:32,FadeQuad,112,5.551939,0.0178736,0.9131762,3.915192,4.042587,CaliberationScene,-0.0866755992174149,-0.112156070768833,-0.160156384110451,0.5,-0.0969785526394844,-0.356863528490067,
20/07/2022 11:19:22 a.m.:57,FadeQuad,112,5.557045,0.05519637,0.8906927,3.915192,4.042587,CaliberationScene,-0.0866755992174149,-0.112156070768833,-0.160156384110451,0.5,-0.0969785526394844,-0.356863528490067,
20/07/2022 11:19:22 a.m.:80,FadeQuad,112,5.551939,0.05519637,0.8906927,3.915192,4.042587,CaliberationScene,-0.0866755992174149,-0.112156070768833,-0.160156384110451,0.5,-0.0969785526394844,-0.356863528490067,
20/07/2022 11:19:22 a.m.:104,FadeQuad,112,5.557045,0.05519637,0.8906927,3.915192,4.042587,CaliberationScene,-0.0866755992174149,-0.112156070768833,-0.160156384110451,0.5,-0.0570058338344097,-0.168820008635521,
20/07/2022 11:19:22 a.m.:132,FadeQuad,108,5.546834,0.05519637,0.8906927,3.915192,4.042587,CaliberationScene,-0.0707863941788673,-0.147972449660301,-0.0668905824422836,0.5,-0.0570058338344097,-0.168820008635521,
