Timestamp,collidingObject,HeartRate,CognitiveLoad,Attention,Relaxation,leftPupilDialation,rightPupilDialation,Condition,AF3,AF4,FP1,FP2,AF7,AF8,
20/07/2022 11:11:38 a.m.:870,,80,3.717949,0.8948305,0.3203591,0,0,CaliberationScene,-0.0315392762422562,-0.0117082120850682,-0.0475989915430546,0.0182976853102446,0.0153539851307869,0.150516390800476,
20/07/2022 11:11:38 a.m.:917,,80,3.717949,0.8948305,0.3203591,0,0,CaliberationScene,0.0556885451078415,0.0184483397752047,0.0834053382277489,0.0182976853102446,0.0153539851307869,0.150516390800476,
20/07/2022 11:11:38 a.m.:966,,80,3.713553,0.93168,0.1979455,0,0,CaliberationScene,0.0556885451078415,0.0184483397752047,0.0834053382277489,-0.00447392882779241,0.0598997473716736,0.108480460941792,
20/07/2022 11:11:38 a.m.:990,,79,3.668132,0.93168,0.1979455,0,0,CaliberationScene,0.0306542050093412,-0.0166165977716446,0.0375589989125729,-0.00447392882779241,0.0598997473716736,0.108480460941792,
20/07/2022 11:11:39 a.m.:18,,79,3.663736,0.93168,0.1979455,0,0,CaliberationScene,0.0306542050093412,-0.0166165977716446,0.0375589989125729,-0.00447392882779241,0.0598997473716736,0.108480460941792,
20/07/2022 11:11:39 a.m.:44,,79,3.660806,0.9039748,0.1698619,0,0,CaliberationScene,0.0306542050093412,-0.0166165977716446,0.0375589989125729,-0.00447392882779241,0.0598997473716736,0.108480460941792,
20/07/2022 11:11:39 a.m.:69,,79,3.660806,0.9039748,0.1698619,0,0,CaliberationScene,0.0306542050093412,-0.0166165977716446,0.0375589989125729,-0.0420885868370533,0.0265139695256948,0.00188150722533464,
20/07/2022 11:11:39 a.m.:105,,79,3.659341,0.9039748,0.1698619,0,0,CaliberationScene,-0.0198741685599089,-0.0588859133422375,-0.0330800116062164,-0.0420885868370533,0.0265139695256948,0.00188150722533464,
20/07/2022 11:11:39 a.m.:135,,79,3.65641,0.9039748,0.1698619,0,0,CaliberationScene,-0.0198741685599089,-0.0588859133422375,-0.0330800116062164,-0.0420885868370533,0.0265139695256948,0.00188150722533464,
20/07/2022 11:11:39 a.m.:161,,79,3.65641,0.8524119,0.2657813,0,0,CaliberationScene,-0.0198741685599089,-0.0588859133422375,-0.0330800116062164,-0.0420885868370533,0.0265139695256948,0.00188150722533464,
20/07/2022 11:11:39 a.m.:183,,79,3.654945,0.8524119,0.2657813,0,0,CaliberationScene,-0.0198741685599089,-0.0588859133422375,-0.0330800116062164,-0.0814689993858337,-0.0320449061691761,-0.0333319827914238,
20/07/2022 11:11:39 a.m.:205,,79,3.650549,0.8524119,0.2657813,0,0,CaliberationScene,-0.0298044346272945,-0.0470808818936348,-0.109767578542233,-0.0814689993858337,-0.0320449061691761,-0.0333319827914238,
20/07/2022 11:11:39 a.m.:234,,79,3.650549,0.8524119,0.2657813,0,0,CaliberationScene,-0.0298044346272945,-0.0470808818936348,-0.109767578542233,-0.0814689993858337,-0.0320449061691761,-0.0333319827914238,
20/07/2022 11:11:39 a.m.:269,,79,3.652015,0.7943196,0.397806,0,0,CaliberationScene,-0.0298044346272945,-0.0470808818936348,-0.109767578542233,-0.180541932582855,-0.157713502645493,-0.192480057477951,
20/07/2022 11:11:39 a.m.:290,,79,3.647619,0.7943196,0.397806,0,0,CaliberationScene,0.0160726215690374,-0.0153613025322557,-0.211807414889336,-0.180541932582855,-0.157713502645493,-0.192480057477951,
20/07/2022 11:11:39 a.m.:314,,79,3.647619,0.7943196,0.397806,0,0,CaliberationScene,0.0160726215690374,-0.0153613025322557,-0.211807414889336,-0.180541932582855,-0.157713502645493,-0.192480057477951,
