Timestamp,Condition,HeartRate,CognitiveLoad,Attention,Relaxation,leftPupilDialation,rightPupilDialation,collidingObject,AF3,AF4,FP1,FP2,AF7,AF8,
20/07/2022 1:12:45 p.m.:634,CaliberationScene,30,0.06682207,0.5491409,0.4821631,4.114883,4.083984,teleport_marker_mesh,-0.5,0.0402175672352314,-0.5,-0.5,-0.5,-0.5,
20/07/2022 1:12:45 p.m.:676,CaliberationScene,30,0.06726607,0.5491409,0.4821631,4.114883,4.083984,teleport_marker_mesh,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,
20/07/2022 1:12:45 p.m.:710,CaliberationScene,30,0.06682207,0.5718158,0.4756502,4.114883,4.083984,teleport_marker_mesh,-0.5,-0.5,-0.5,-0.0983875468373299,-0.0352199487388134,-0.106447353959084,
20/07/2022 1:12:45 p.m.:738,CaliberationScene,30,0.06682207,0.5718158,0.4756502,4.114883,4.083984,teleport_marker_mesh,-0.5,-0.0918375626206398,0.0551601648330688,-0.0983875468373299,-0.0352199487388134,-0.106447353959084,
20/07/2022 1:12:45 p.m.:759,CaliberationScene,30,0.06726607,0.5718158,0.4756502,4.114883,4.083984,teleport_marker_mesh,-0.5,-0.0918375626206398,0.0551601648330688,-0.0983875468373299,-0.0352199487388134,-0.106447353959084,
20/07/2022 1:12:45 p.m.:784,CaliberationScene,30,0.06682207,0.5718158,0.4756502,4.114883,4.083984,teleport_marker_mesh,-0.5,-0.0918375626206398,0.0551601648330688,-0.0983875468373299,-0.0352199487388134,-0.106447353959084,
20/07/2022 1:12:45 p.m.:816,CaliberationScene,30,0.06726607,0.6114751,0.4442659,4.114883,4.083984,teleport_marker_mesh,-0.5,-0.0918375626206398,0.0551601648330688,0.380760610103607,0.451399981975555,0.258386611938477,
20/07/2022 1:12:45 p.m.:838,CaliberationScene,30,0.06682207,0.6114751,0.4442659,4.114883,4.083984,teleport_marker_mesh,-0.348059415817261,0.381251662969589,0.5,0.380760610103607,0.451399981975555,0.258386611938477,
20/07/2022 1:12:45 p.m.:869,CaliberationScene,30,0.06682207,0.6114751,0.4442659,4.114883,4.083984,teleport_marker_mesh,-0.348059415817261,0.381251662969589,0.5,0.380760610103607,0.451399981975555,0.258386611938477,
20/07/2022 1:12:45 p.m.:897,CaliberationScene,30,0.06682207,0.6114751,0.4442659,4.114883,4.083984,teleport_marker_mesh,-0.348059415817261,0.381251662969589,0.5,0.5,0.5,0.5,
20/07/2022 1:12:45 p.m.:917,CaliberationScene,30,0.06682207,0.5888542,0.4318557,4.114883,4.083984,teleport_marker_mesh,0.354653120040894,0.5,0.5,0.5,0.5,0.5,
20/07/2022 1:12:45 p.m.:937,CaliberationScene,30,0.06682207,0.5888542,0.4318557,4.114883,4.083984,teleport_marker_mesh,0.354653120040894,0.5,0.5,0.5,0.5,0.5,
20/07/2022 1:12:45 p.m.:969,CaliberationScene,30,0.06682207,0.5888542,0.4318557,4.114883,4.083984,teleport_marker_mesh,0.354653120040894,0.5,0.5,0.5,0.5,0.5,
20/07/2022 1:12:45 p.m.:994,CaliberationScene,30,0.06682207,0.5888542,0.4318557,4.114883,4.083984,teleport_marker_mesh,0.354653120040894,0.5,0.5,0.5,0.5,0.5,
20/07/2022 1:12:46 p.m.:23,CaliberationScene,30,0.06682207,0.5305003,0.4204729,4.114883,4.083984,teleport_marker_mesh,0.460754185914993,0.5,0.5,0.5,0.5,0.5,
20/07/2022 1:12:46 p.m.:44,CaliberationScene,30,0.06726607,0.5305003,0.4204729,4.114883,4.083984,teleport_marker_mesh,0.460754185914993,0.5,0.5,0.5,0.5,0.5,
20/07/2022 1:12:46 p.m.:66,CaliberationScene,30,0.06682207,0.5305003,0.4204729,4.114883,4.083984,teleport_marker_mesh,0.460754185914993,0.5,0.5,0.5,0.5,0.5,
20/07/2022 1:12:46 p.m.:87,CaliberationScene,30,0.06682207,0.5305003,0.4204729,4.114883,4.083984,teleport_marker_mesh,0.460754185914993,0.5,0.5,0.5,0.5,0.5,
20/07/2022 1:12:46 p.m.:125,CaliberationScene,30,0.06682207,0.5305003,0.4204729,4.114883,4.083984,teleport_marker_mesh,0.460754185914993,0.5,0.5,0.5,0.5,0.5,
20/07/2022 1:12:46 p.m.:151,CaliberationScene,30,0.06682207,0.4954293,0.3971084,4.114883,4.083984,teleport_marker_mesh,0.5,0.5,0.5,0.5,0.5,0.5,
20/07/2022 1:12:46 p.m.:172,CaliberationScene,30,0.06682207,0.4954293,0.3971084,4.114883,4.083984,teleport_marker_mesh,0.5,0.5,0.5,0.5,0.5,0.5,
20/07/2022 1:12:46 p.m.:193,CaliberationScene,30,0.06682207,0.4954293,0.3971084,4.114883,4.083984,teleport_marker_mesh,0.5,0.5,0.5,0.5,0.5,0.5,
20/07/2022 1:12:46 p.m.:217,CaliberationScene,30,0.06682207,0.4954293,0.3971084,4.114883,4.083984,teleport_marker_mesh,0.5,0.5,0.5,0.5,0.5,0.5,
20/07/2022 1:12:46 p.m.:238,CaliberationScene,30,0.06682207,0.4958604,0.3708784,4.114883,4.083984,teleport_marker_mesh,0.5,0.5,0.5,0.5,0.5,0.5,
20/07/2022 1:12:46 p.m.:277,CaliberationScene,30,0.06682207,0.4958604,0.3708784,4.114883,4.083984,teleport_marker_mesh,0.5,0.5,0.5,0.5,0.5,0.5,
20/07/2022 1:12:46 p.m.:306,CaliberationScene,30,0.06682207,0.4958604,0.3708784,4.114883,4.083984,teleport_marker_mesh,0.5,0.5,0.5,0.202279090881348,0.189016655087471,0.0863520205020905,
20/07/2022 1:12:46 p.m.:330,CaliberationScene,30,0.06682207,0.4958604,0.3708784,4.114883,4.083984,teleport_marker_mesh,0.5,0.00238125957548618,0.172905147075653,0.202279090881348,0.189016655087471,0.0863520205020905,
20/07/2022 1:12:46 p.m.:355,CaliberationScene,30,0.06682207,0.5145615,0.3468588,4.114883,4.083984,teleport_marker_mesh,0.5,0.00238125957548618,0.172905147075653,0.202279090881348,0.189016655087471,0.0863520205020905,
20/07/2022 1:12:46 p.m.:375,CaliberationScene,30,0.06682207,0.5145615,0.3468588,4.114883,4.083984,teleport_marker_mesh,0.5,0.00238125957548618,0.172905147075653,0.202279090881348,0.189016655087471,0.0863520205020905,
20/07/2022 1:12:46 p.m.:398,CaliberationScene,30,0.06682207,0.5145615,0.3468588,4.114883,4.083984,teleport_marker_mesh,0.5,0.00238125957548618,0.172905147075653,-0.104747466742992,-0.143840998411179,-0.170351788401604,
20/07/2022 1:12:46 p.m.:443,CaliberationScene,30,0.06682207,0.5145615,0.3468588,4.114883,4.083984,teleport_marker_mesh,0.5,-0.269683092832565,-0.181786745786667,-0.104747466742992,-0.143840998411179,-0.170351788401604,
20/07/2022 1:12:46 p.m.:470,CaliberationScene,30,0.06682207,0.5145615,0.3468588,4.114883,4.083984,teleport_marker_mesh,0.5,-0.269683092832565,-0.181786745786667,-0.104747466742992,-0.143840998411179,-0.170351788401604,
20/07/2022 1:12:46 p.m.:490,CaliberationScene,30,0.06637806,0.5229265,0.3358445,4.114883,4.083984,teleport_marker_mesh,0.5,-0.269683092832565,-0.181786745786667,-0.104747466742992,-0.143840998411179,-0.170351788401604,
20/07/2022 1:12:46 p.m.:511,CaliberationScene,30,0.06682207,0.5229265,0.3358445,4.114883,4.083984,teleport_marker_mesh,0.5,-0.269683092832565,-0.181786745786667,-0.189211249351501,-0.263484388589859,-0.377328157424927,
20/07/2022 1:12:46 p.m.:532,CaliberationScene,30,0.06726607,0.5229265,0.3358445,4.114883,4.083984,teleport_marker_mesh,0.5,-0.315962940454483,-0.327492266893387,-0.189211249351501,-0.263484388589859,-0.377328157424927,
20/07/2022 1:12:46 p.m.:562,CaliberationScene,30,0.06682207,0.5229265,0.3358445,4.114883,4.083984,teleport_marker_mesh,0.5,-0.315962940454483,-0.327492266893387,-0.189211249351501,-0.263484388589859,-0.377328157424927,
20/07/2022 1:12:46 p.m.:598,CaliberationScene,30,0.06682207,0.5229265,0.3358445,4.114883,4.083984,teleport_marker_mesh,0.5,-0.315962940454483,-0.327492266893387,-0.189211249351501,-0.263484388589859,-0.377328157424927,
20/07/2022 1:12:46 p.m.:622,CaliberationScene,30,0.06726607,0.5089403,0.3331915,4.114883,4.083984,teleport_marker_mesh,0.5,-0.315962940454483,-0.327492266893387,-0.133094623684883,-0.226403221487999,-0.216826736927032,
20/07/2022 1:12:46 p.m.:643,CaliberationScene,30,0.06682207,0.5089403,0.3331915,4.114883,4.083984,teleport_marker_mesh,0.18140210211277,-0.294918775558472,-0.261400133371353,-0.133094623684883,-0.226403221487999,-0.216826736927032,
20/07/2022 1:12:46 p.m.:666,CaliberationScene,30,0.06682207,0.5089403,0.3331915,4.114883,4.083984,teleport_marker_mesh,0.18140210211277,-0.294918775558472,-0.261400133371353,-0.133094623684883,-0.226403221487999,-0.216826736927032,
20/07/2022 1:12:46 p.m.:697,CaliberationScene,30,0.06726607,0.5089403,0.3331915,4.114883,4.083984,teleport_marker_mesh,0.18140210211277,-0.294918775558472,-0.261400133371353,-0.133094623684883,-0.226403221487999,-0.216826736927032,
20/07/2022 1:12:46 p.m.:733,CaliberationScene,30,0.06726607,0.5057826,0.3329968,4.114883,4.083984,teleport_marker_mesh,0.18140210211277,-0.294918775558472,-0.261400133371353,0.5,0.5,0.5,
20/07/2022 1:12:46 p.m.:763,CaliberationScene,30,0.06682207,0.5057826,0.3329968,4.114883,4.083984,teleport_marker_mesh,0.5,0.5,0.5,0.5,0.5,0.5,
20/07/2022 1:12:46 p.m.:785,CaliberationScene,30,0.06682207,0.5057826,0.3329968,4.114883,4.083984,teleport_marker_mesh,0.5,0.5,0.5,0.5,0.5,0.5,
20/07/2022 1:12:46 p.m.:823,CaliberationScene,30,0.06726607,0.5057826,0.3329968,4.114883,4.083984,teleport_marker_mesh,0.5,0.5,0.5,0.479798376560211,0.5,0.5,
20/07/2022 1:12:46 p.m.:843,CaliberationScene,30,0.06726607,0.5160052,0.3220167,4.114883,4.083984,teleport_marker_mesh,0.387431681156158,0.475584477186203,0.5,0.479798376560211,0.5,0.5,
20/07/2022 1:12:46 p.m.:865,CaliberationScene,30,0.06682207,0.5160052,0.3220167,4.114883,4.083984,teleport_marker_mesh,0.387431681156158,0.475584477186203,0.5,0.479798376560211,0.5,0.5,
20/07/2022 1:12:46 p.m.:887,CaliberationScene,30,0.06682207,0.5160052,0.3220167,4.114883,4.083984,teleport_marker_mesh,0.387431681156158,0.475584477186203,0.5,0.479798376560211,0.5,0.5,
20/07/2022 1:12:46 p.m.:932,CaliberationScene,30,0.06682207,0.5160052,0.3220167,4.114883,4.083984,teleport_marker_mesh,0.387431681156158,0.475584477186203,0.5,-0.0272540282458067,-0.0382482893764973,-0.0383546501398087,
20/07/2022 1:12:46 p.m.:954,CaliberationScene,30,0.06682207,0.5295368,0.2975736,4.114883,4.083984,teleport_marker_mesh,-0.247689574956894,-0.0682771727442741,-0.016913790255785,-0.0272540282458067,-0.0382482893764973,-0.0383546501398087,
20/07/2022 1:12:46 p.m.:975,CaliberationScene,30,0.06682207,0.5295368,0.2975736,4.114883,4.083984,teleport_marker_mesh,-0.247689574956894,-0.0682771727442741,-0.016913790255785,-0.0272540282458067,-0.0382482893764973,-0.0383546501398087,
20/07/2022 1:12:47 p.m.:6,CaliberationScene,30,0.06682207,0.5295368,0.2975736,4.114883,4.083984,teleport_marker_mesh,-0.247689574956894,-0.0682771727442741,-0.016913790255785,-0.0272540282458067,-0.0382482893764973,-0.0383546501398087,
20/07/2022 1:12:47 p.m.:30,CaliberationScene,30,0.06682207,0.5295368,0.2975736,4.114883,4.083984,teleport_marker_mesh,-0.247689574956894,-0.0682771727442741,-0.016913790255785,-0.431717365980148,-0.490763515233994,-0.5,
20/07/2022 1:12:47 p.m.:62,CaliberationScene,30,0.06682207,0.5241747,0.2744539,4.114883,4.083984,teleport_marker_mesh,-0.5,-0.5,-0.459840536117554,-0.431717365980148,-0.490763515233994,-0.5,
20/07/2022 1:12:47 p.m.:95,CaliberationScene,30,0.06682207,0.5241747,0.2744539,4.114883,4.083984,teleport_marker_mesh,-0.5,-0.5,-0.459840536117554,-0.431717365980148,-0.490763515233994,-0.5,
