Timestamp,collidingObject,HeartRate,CognitiveLoad,Attention,Relaxation,leftPupilDialation,rightPupilDialation,Condition,AF3,AF4,FP1,FP2,AF7,AF8,
20/07/2022 11:57:05 a.m.:889,Manipulator,77,0.5,0.1778088,0.9205269,3.59169,3.782867,CaliberationScene,0.0318427868187428,0.0308727286756039,0.0563564077019691,-0.078862838447094,-0.0332907252013683,-0.0645027160644531,
20/07/2022 11:57:05 a.m.:937,Manipulator,77,0.5,0.1778088,0.9205269,3.59169,3.782867,CaliberationScene,-0.0409132242202759,-0.0692029744386673,-0.0305760372430086,-0.078862838447094,-0.0332907252013683,-0.0645027160644531,
20/07/2022 11:57:05 a.m.:971,Manipulator,77,0.5,0.1847792,0.8919647,3.59169,3.782867,CaliberationScene,-0.0409132242202759,-0.0692029744386673,-0.0305760372430086,-0.0345689356327057,0.00599034130573273,-0.0248253662139177,
20/07/2022 11:57:05 a.m.:993,Manipulator,77,0.5,0.1847792,0.8919647,3.59169,3.782867,CaliberationScene,-0.038191232830286,-0.0348055772483349,0.0011484328424558,-0.0345689356327057,0.00599034130573273,-0.0248253662139177,
20/07/2022 11:57:06 a.m.:19,Manipulator,77,0.5,0.1847792,0.8919647,3.59169,3.782867,CaliberationScene,-0.038191232830286,-0.0348055772483349,0.0011484328424558,-0.0345689356327057,0.00599034130573273,-0.0248253662139177,
20/07/2022 11:57:06 a.m.:43,Manipulator,77,0.5,0.196395,0.8472262,3.59169,3.782867,CaliberationScene,-0.038191232830286,-0.0348055772483349,0.0011484328424558,-0.0345689356327057,0.00599034130573273,-0.0248253662139177,
20/07/2022 11:57:06 a.m.:69,Manipulator,77,0.5,0.196395,0.8472262,3.59169,3.782867,CaliberationScene,-0.038191232830286,-0.0348055772483349,0.0011484328424558,0.00791489984840155,0.0340356938540936,0.0253594405949116,
20/07/2022 11:57:06 a.m.:92,Manipulator,77,0.5,0.196395,0.8472262,3.59169,3.782867,CaliberationScene,0.00667821569368243,0.000572684919461608,0.0370759777724743,0.00791489984840155,0.0340356938540936,0.0253594405949116,
20/07/2022 11:57:06 a.m.:114,Manipulator,77,0.5,0.196395,0.8472262,3.59169,3.782867,CaliberationScene,0.00667821569368243,0.000572684919461608,0.0370759777724743,0.00791489984840155,0.0340356938540936,0.0253594405949116,
20/07/2022 11:57:06 a.m.:141,Manipulator,77,0.5,0.196395,0.8472262,3.59169,3.782867,CaliberationScene,0.00667821569368243,0.000572684919461608,0.0370759777724743,0.00791489984840155,0.0340356938540936,0.0253594405949116,
20/07/2022 11:57:06 a.m.:165,Manipulator,77,0.5,0.195216,0.8082135,3.59169,3.782867,CaliberationScene,0.00667821569368243,0.000572684919461608,0.0370759777724743,0.0112266596406698,0.00741204246878624,0.00725813442841172,
20/07/2022 11:57:06 a.m.:188,Manipulator,77,0.5,0.195216,0.8082135,3.59169,3.782867,CaliberationScene,0.0186170339584351,0.00746215134859085,0.0248938351869583,0.0112266596406698,0.00741204246878624,0.00725813442841172,
20/07/2022 11:57:06 a.m.:221,Manipulator,77,0.5,0.195216,0.8082135,3.59169,3.782867,CaliberationScene,0.0186170339584351,0.00746215134859085,0.0248938351869583,0.0112266596406698,0.00741204246878624,0.00725813442841172,
20/07/2022 11:57:06 a.m.:249,Manipulator,77,0.5,0.195216,0.8082135,3.59169,3.782867,CaliberationScene,0.0186170339584351,0.00746215134859085,0.0248938351869583,0.0112266596406698,0.00741204246878624,0.00725813442841172,
20/07/2022 11:57:06 a.m.:270,Manipulator,77,0.5,0.1845725,0.7938306,3.59169,3.782867,CaliberationScene,0.0186170339584351,0.00746215134859085,0.0248938351869583,0.0592285841703415,0.0144821358844638,0.0142070623114705,
20/07/2022 11:57:06 a.m.:291,Manipulator,77,0.5,0.1845725,0.7938306,3.59169,3.782867,CaliberationScene,0.0194955039769411,0.00821901019662619,-0.0085223987698555,0.0592285841703415,0.0144821358844638,0.0142070623114705,
20/07/2022 11:57:06 a.m.:313,Manipulator,77,0.5,0.1845725,0.7938306,3.59169,3.782867,CaliberationScene,0.0194955039769411,0.00821901019662619,-0.0085223987698555,0.0592285841703415,0.0144821358844638,0.0142070623114705,
20/07/2022 11:57:06 a.m.:336,Manipulator,77,0.5,0.1845725,0.7938306,3.59169,3.782867,CaliberationScene,0.0194955039769411,0.00821901019662619,-0.0085223987698555,0.0592285841703415,0.0144821358844638,0.0142070623114705,
20/07/2022 11:57:06 a.m.:374,Manipulator,77,0.5,0.1845725,0.7938306,3.59169,3.782867,CaliberationScene,0.0194955039769411,0.00821901019662619,-0.0085223987698555,0.0596670284867287,0.0110292723402381,0.0135330930352211,
20/07/2022 11:57:06 a.m.:398,Manipulator,77,0.5,0.186212,0.7767684,3.59169,3.782867,CaliberationScene,0.00263879681006074,0.0267751533538103,-0.0101916575804353,0.0596670284867287,0.0110292723402381,0.0135330930352211,
20/07/2022 11:57:06 a.m.:424,Manipulator,77,0.5,0.186212,0.7767684,3.59169,3.782867,CaliberationScene,0.00263879681006074,0.0267751533538103,-0.0101916575804353,0.0596670284867287,0.0110292723402381,0.0135330930352211,
20/07/2022 11:57:06 a.m.:446,Manipulator,77,0.5,0.186212,0.7767684,3.59169,3.782867,CaliberationScene,0.00263879681006074,0.0267751533538103,-0.0101916575804353,0.0596670284867287,0.0110292723402381,0.0135330930352211,
20/07/2022 11:57:06 a.m.:475,Manipulator,77,0.5,0.186212,0.7767684,3.59169,3.782867,CaliberationScene,0.00263879681006074,0.0267751533538103,-0.0101916575804353,0.0241001676768065,0.00775054050609469,-0.00595518667250872,
20/07/2022 11:57:06 a.m.:500,Manipulator,77,0.5,0.2175393,0.7564043,3.59169,3.782867,CaliberationScene,0.00345413852483034,-0.00627109594643116,-0.000291642121737823,0.0241001676768065,0.00775054050609469,-0.00595518667250872,
20/07/2022 11:57:06 a.m.:531,Manipulator,77,0.5,0.2175393,0.7564043,3.59169,3.782867,CaliberationScene,0.00345413852483034,-0.00627109594643116,-0.000291642121737823,0.0241001676768065,0.00775054050609469,-0.00595518667250872,
20/07/2022 11:57:06 a.m.:553,Manipulator,77,0.5,0.2175393,0.7564043,3.59169,3.782867,CaliberationScene,0.00345413852483034,-0.00627109594643116,-0.000291642121737823,0.0241001676768065,0.00775054050609469,-0.00595518667250872,
20/07/2022 11:57:06 a.m.:580,Manipulator,77,0.5,0.2175393,0.7564043,3.59169,3.782867,CaliberationScene,0.00345413852483034,-0.00627109594643116,-0.000291642121737823,0.00271794176660478,0.00393843092024326,-0.00808910001069307,
20/07/2022 11:57:06 a.m.:600,Manipulator,77,0.5,0.2513264,0.736471,3.59169,3.782867,CaliberationScene,0.00797124113887548,-0.00209283386357129,0.000737101363483816,0.00271794176660478,0.00393843092024326,-0.00808910001069307,
20/07/2022 11:57:06 a.m.:622,Manipulator,77,0.5,0.2513264,0.736471,3.59169,3.782867,CaliberationScene,0.00797124113887548,-0.00209283386357129,0.000737101363483816,0.00271794176660478,0.00393843092024326,-0.00808910001069307,
