Timestamp,collidingObject,HeartRate,CognitiveLoad,Attention,Relaxation,leftPupilDialation,rightPupilDialation,Condition,AF3,AF4,FP1,FP2,AF7,AF8,
20/07/2022 12:10:33 p.m.:111,Manipulator,77,0.5,0.9696293,0.3801084,3.343384,3.743118,CaliberationScene,0.0297311525791883,0.0214056745171547,0.0112195210531354,0.0184844713658094,0.0116928499191999,0.0273434072732925,
20/07/2022 12:10:33 p.m.:144,Manipulator,77,0.5,0.9696293,0.3801084,3.343384,3.743118,CaliberationScene,0.0243809334933758,0.0144946472719312,0.00718368077650666,0.0184844713658094,0.0116928499191999,0.0273434072732925,
20/07/2022 12:10:33 p.m.:179,Manipulator,77,0.5,0.9844502,0.329394,3.343384,3.743118,CaliberationScene,0.0243809334933758,0.0144946472719312,0.00718368077650666,0.0184844713658094,0.0116928499191999,0.0273434072732925,
20/07/2022 12:10:33 p.m.:200,Manipulator,77,0.5,0.9844502,0.329394,3.343384,3.743118,CaliberationScene,0.0243809334933758,0.0144946472719312,0.00718368077650666,0.0184844713658094,0.0116928499191999,0.0273434072732925,
20/07/2022 12:10:33 p.m.:221,Manipulator,77,0.5,0.9844502,0.329394,3.343384,3.743118,CaliberationScene,0.0243809334933758,0.0144946472719312,0.00718368077650666,0.0188315138220787,0.0138844568282366,0.0492302849888802,
20/07/2022 12:10:33 p.m.:246,Manipulator,77,0.5,0.9844502,0.329394,3.343384,3.743118,CaliberationScene,0.00820157583802938,0.0259321741759777,0.012290395796299,0.0188315138220787,0.0138844568282366,0.0492302849888802,
20/07/2022 12:10:33 p.m.:267,Manipulator,77,0.5,0.9936308,0.2534864,3.343384,3.743118,CaliberationScene,0.00820157583802938,0.0259321741759777,0.012290395796299,0.0188315138220787,0.0138844568282366,0.0492302849888802,
20/07/2022 12:10:33 p.m.:288,Manipulator,77,0.5,0.9936308,0.2534864,3.343384,3.743118,CaliberationScene,0.00820157583802938,0.0259321741759777,0.012290395796299,0.0188315138220787,0.0138844568282366,0.0492302849888802,
20/07/2022 12:10:33 p.m.:315,Manipulator,77,0.5,0.9936308,0.2534864,3.343384,3.743118,CaliberationScene,0.00820157583802938,0.0259321741759777,0.012290395796299,-0.0983924120664597,-0.120214812457561,-0.0845556184649467,
20/07/2022 12:10:33 p.m.:339,Manipulator,77,0.5,0.9936308,0.2534864,3.343384,3.743118,CaliberationScene,-0.00342600746080279,-0.00865213945508003,-0.0796817615628242,-0.0983924120664597,-0.120214812457561,-0.0845556184649467,
20/07/2022 12:10:33 p.m.:364,Manipulator,77,0.5,0.9936308,0.2534864,3.343384,3.743118,CaliberationScene,-0.00342600746080279,-0.00865213945508003,-0.0796817615628242,-0.0983924120664597,-0.120214812457561,-0.0845556184649467,
20/07/2022 12:10:33 p.m.:386,Manipulator,77,0.5,0.9979129,0.1921469,3.343384,3.743118,CaliberationScene,-0.00342600746080279,-0.00865213945508003,-0.0796817615628242,-0.0983924120664597,-0.120214812457561,-0.0845556184649467,
20/07/2022 12:10:33 p.m.:406,Manipulator,77,0.5,0.9979129,0.1921469,3.343384,3.743118,CaliberationScene,-0.00342600746080279,-0.00865213945508003,-0.0796817615628242,-0.0983924120664597,-0.120214812457561,-0.0845556184649467,
20/07/2022 12:10:33 p.m.:434,Manipulator,77,0.5,0.9979129,0.1921469,3.343384,3.743118,CaliberationScene,-0.00342600746080279,-0.00865213945508003,-0.0796817615628242,0.0351870432496071,0.0425458215177059,0.0903825461864471,
20/07/2022 12:10:33 p.m.:463,Manipulator,77,0.5,0.9979129,0.1921469,3.343384,3.743118,CaliberationScene,-0.00877499300986528,0.0162186268717051,0.0212525688111782,0.0351870432496071,0.0425458215177059,0.0903825461864471,
20/07/2022 12:10:33 p.m.:487,Manipulator,77,0.5,0.9979129,0.1921469,3.343384,3.743118,CaliberationScene,-0.00877499300986528,0.0162186268717051,0.0212525688111782,0.0351870432496071,0.0425458215177059,0.0903825461864471,
