TimeStamp,HeartRate,GSR,Attention,leftPupilDialation,rightPupilDialation,collidingObjectName,
15/07/2022 8:20:32 a.m.:812,77,0,0,0,0,,
15/07/2022 8:20:32 a.m.:844,77,0,0,0,0,,
15/07/2022 8:20:32 a.m.:879,77,0,0,0,0,,
15/07/2022 8:20:32 a.m.:902,77,0,0,0,0,,
15/07/2022 8:20:32 a.m.:921,77,0,0,0,0,,
15/07/2022 8:20:32 a.m.:939,77,0,0,0,0,,
15/07/2022 8:20:32 a.m.:959,77,0,0,0,0,,
15/07/2022 8:20:32 a.m.:979,77,0,0,0,0,,
15/07/2022 8:20:33 a.m.:0,77,0,0,0,0,,
15/07/2022 8:20:33 a.m.:19,77,0,0,0,0,,
15/07/2022 8:20:33 a.m.:45,77,0,0,0,0,,
15/07/2022 8:20:33 a.m.:69,77,0,0,0,0,,
15/07/2022 8:20:33 a.m.:89,77,0,0,0,0,,
15/07/2022 8:20:33 a.m.:108,77,0,0,0,0,,
15/07/2022 8:20:33 a.m.:129,77,0,0,0,0,,
15/07/2022 8:20:33 a.m.:148,77,0,0,0,0,,
15/07/2022 8:20:33 a.m.:177,77,0,0,0,0,,
15/07/2022 8:20:33 a.m.:197,77,0,0,0,0,,
15/07/2022 8:20:33 a.m.:233,77,0,0,0,0,,
15/07/2022 8:20:33 a.m.:255,77,0,0,0,0,,
15/07/2022 8:20:33 a.m.:275,77,0,0,0,0,,
15/07/2022 8:20:33 a.m.:295,77,0,0,0,0,,
15/07/2022 8:20:33 a.m.:317,77,0,0,0,0,,
15/07/2022 8:20:33 a.m.:339,77,0,0,0,0,,
15/07/2022 8:20:33 a.m.:361,77,0,0,0,0,,
15/07/2022 8:20:33 a.m.:389,77,0,0,0,0,,
15/07/2022 8:20:33 a.m.:409,77,0,0,0,0,,
15/07/2022 8:20:33 a.m.:427,77,0,0,0,0,,
15/07/2022 8:20:33 a.m.:450,77,0,0,0,0,,
15/07/2022 8:20:33 a.m.:472,77,0,0,0,0,,
15/07/2022 8:20:33 a.m.:494,77,0,0,0,0,,
15/07/2022 8:20:33 a.m.:523,77,0,0,0,0,,
15/07/2022 8:20:33 a.m.:542,77,0,0,0,0,,
15/07/2022 8:20:33 a.m.:561,77,0,0,0,0,,
15/07/2022 8:20:33 a.m.:583,77,0,0,0,0,,
15/07/2022 8:20:33 a.m.:605,77,0,0,0,0,,
15/07/2022 8:20:33 a.m.:627,77,0,0,0,0,,
15/07/2022 8:20:33 a.m.:654,77,0,0,0,0,,
,,,,,,,
15/07/2022 8:20:36 a.m.:961,77,0,0,0,0,,
15/07/2022 8:20:37 a.m.:179,77,0,0,0,0,,
15/07/2022 8:20:37 a.m.:308,77,0,0,0,0,,
15/07/2022 8:20:37 a.m.:336,77,0,0,0,0,,
15/07/2022 8:20:37 a.m.:371,77,0,0,0,0,,
15/07/2022 8:20:37 a.m.:405,77,0,0,0,0,,
15/07/2022 8:20:37 a.m.:432,77,0,0,0,0,,
15/07/2022 8:20:37 a.m.:458,77,0,0,0,0,,
15/07/2022 8:20:37 a.m.:493,77,0,0,0,0,,
15/07/2022 8:20:37 a.m.:526,77,0,0,0,0,,
15/07/2022 8:20:37 a.m.:556,77,0,0,0,0,,
15/07/2022 8:20:37 a.m.:581,77,0,0,0,0,,
15/07/2022 8:20:37 a.m.:614,77,0,0,0,0,,
15/07/2022 8:20:37 a.m.:647,77,0,0,0,0,,
15/07/2022 8:20:37 a.m.:678,77,0,0,0,0,,
15/07/2022 8:20:37 a.m.:709,77,0,0,0,0,,
15/07/2022 8:20:37 a.m.:735,77,0,0,0,0,,
15/07/2022 8:20:37 a.m.:769,77,0,0,0,0,,
15/07/2022 8:20:37 a.m.:802,77,0,0,0,0,,
15/07/2022 8:20:37 a.m.:839,77,0,0,0,0,,
15/07/2022 8:20:37 a.m.:869,77,0,0,0,0,,
15/07/2022 8:20:37 a.m.:902,77,0,0,0,0,,
15/07/2022 8:20:37 a.m.:936,77,0,0,0,0,,
15/07/2022 8:20:37 a.m.:969,77,0,0,0,0,,
15/07/2022 8:20:38 a.m.:9,77,0,0,0,0,,
15/07/2022 8:20:38 a.m.:35,77,0,0,0,0,,
15/07/2022 8:20:38 a.m.:69,77,0,0,0,0,,
15/07/2022 8:20:38 a.m.:102,77,0,0,0,0,,
15/07/2022 8:20:38 a.m.:137,77,0,0,0,0,,
15/07/2022 8:20:38 a.m.:173,77,0,0,0,0,,
15/07/2022 8:20:38 a.m.:201,77,0,0,0,0,,
15/07/2022 8:20:38 a.m.:235,77,0,0,0,0,,
15/07/2022 8:20:38 a.m.:269,77,0,0,0,0,,
15/07/2022 8:20:38 a.m.:304,77,0,0,0,0,,
15/07/2022 8:20:38 a.m.:339,77,0,0,0,0,,
15/07/2022 8:20:38 a.m.:373,77,0,0,0,0,,
15/07/2022 8:20:38 a.m.:402,77,0,0,0,0,,
15/07/2022 8:20:38 a.m.:435,77,0,0,0,0,,
15/07/2022 8:20:38 a.m.:469,77,0,0,0,0,,
15/07/2022 8:20:38 a.m.:505,77,0,0,0,0,,
15/07/2022 8:20:38 a.m.:549,77,0,0,0,0,,
15/07/2022 8:20:38 a.m.:586,77,0,0,0,0,,
15/07/2022 8:20:38 a.m.:649,77,0,0,0,0,,
15/07/2022 8:20:38 a.m.:689,77,0,0,0,0,,
15/07/2022 8:20:38 a.m.:716,77,0,0,0,0,,
15/07/2022 8:20:38 a.m.:743,77,0,0,0,0,,
15/07/2022 8:20:38 a.m.:769,77,0,0,0,0,,
15/07/2022 8:20:38 a.m.:808,77,0,0,0,0,,
15/07/2022 8:20:38 a.m.:834,77,0,0,0,0,,
15/07/2022 8:20:38 a.m.:859,77,0,0,0,0,,
15/07/2022 8:20:38 a.m.:887,77,0,0,0,0,,
15/07/2022 8:20:38 a.m.:917,77,0,0,0,0,,
15/07/2022 8:20:38 a.m.:979,77,0,0,0,0,,
15/07/2022 8:20:39 a.m.:12,77,0,0,0,0,,
15/07/2022 8:20:39 a.m.:45,77,0,0,0,0,,
15/07/2022 8:20:39 a.m.:79,77,0,0,0,0,,
15/07/2022 8:20:39 a.m.:112,77,0,0,0,0,,
15/07/2022 8:20:39 a.m.:142,77,0,0,0,0,,
15/07/2022 8:20:39 a.m.:171,77,0,0,0,0,,
15/07/2022 8:20:39 a.m.:199,77,0,0,0,0,,
15/07/2022 8:20:39 a.m.:227,77,0,0,0,0,,
15/07/2022 8:20:39 a.m.:258,77,0,0,0,0,,
15/07/2022 8:20:39 a.m.:293,77,0,0,0,0,,
15/07/2022 8:20:39 a.m.:324,77,0,0,0,0,,
15/07/2022 8:20:39 a.m.:356,77,0,0,0,0,,
15/07/2022 8:20:39 a.m.:391,77,0,0,0,0,,
15/07/2022 8:20:39 a.m.:427,77,0,0,0,0,,
15/07/2022 8:20:39 a.m.:469,77,0,0,0,0,,
15/07/2022 8:20:39 a.m.:508,77,0,0,0,0,,
15/07/2022 8:20:39 a.m.:542,77,0,0,0,0,,
15/07/2022 8:20:39 a.m.:578,77,0,0,0,0,,
15/07/2022 8:20:39 a.m.:605,77,0,0,0,0,,
15/07/2022 8:20:39 a.m.:631,77,0,0,0,0,,
15/07/2022 8:20:39 a.m.:661,77,0,0,0,0,,
15/07/2022 8:20:39 a.m.:690,77,0,0,0,0,,
15/07/2022 8:20:39 a.m.:726,77,0,0,0,0,,
15/07/2022 8:20:39 a.m.:757,77,0,0,0,0,,
15/07/2022 8:20:39 a.m.:791,77,0,0,0,0,,
15/07/2022 8:20:39 a.m.:823,77,0,0,0,0,,
