TimeStamp,HeartRate,GSR,Attention,leftPupilDialation,rightPupilDialation,rightPupilDialation,collidingObjectName,
13/07/2022 11:18:28 p.m.:340,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:351,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:362,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:374,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:388,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:400,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:409,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:418,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:428,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:439,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:451,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:461,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:473,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:485,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:496,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:506,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:517,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:528,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:540,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:551,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:562,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:573,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:584,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:595,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:606,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:617,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:629,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:640,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:652,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:663,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:675,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:686,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:697,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:708,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:719,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:731,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:743,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:756,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:766,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:778,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:790,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:799,0,0,0,0,0,,,
13/07/2022 11:18:28 p.m.:810,0,0,0,0,0,,,
